iter	CrossEntropy
144	0.5453866593
145	0.544937192
146	0.5441238922
147	0.5434576851
148	0.5431997746
149	0.5427501757
150	0.5423762198
151	0.5419917219
152	0.5413879706
153	0.5409767207
154	0.5404822691
155	0.5398903711
156	0.5394188608
157	0.5387752663
158	0.5384279881
159	0.5379100125
160	0.5376102985
161	0.5373369739
162	0.5362769815
163	0.5354996649
164	0.5347172413
165	0.5342577126
166	0.5336670834
167	0.5332594847
168	0.5326093098
169	0.5321782954
170	0.5317146229
171	0.5314030292
172	0.5310794166
173	0.5303753113
174	0.5296694561
175	0.5293114923
176	0.5288546633
177	0.5281465387
178	0.5279500726
179	0.5275212253
180	0.5272267993
181	0.526789947
182	0.5265259027
183	0.5258726987
184	0.5252627819
185	0.5247654761
186	0.5242840302
187	0.5240155949
188	0.5236711214
189	0.5231936434
190	0.5226227119
191	0.5218999361
192	0.5212757938
193	0.5208070581
194	0.5203972957
195	0.5198686527
196	0.5195904432
197	0.5191972041
198	0.5185183745
199	0.5179378335
200	0.5176554366
201	0.5171240678
202	0.5167969233
203	0.5163479476
204	0.5158672739
205	0.5155362883
206	0.5149984486
207	0.5147594436
208	0.5142869014
209	0.5139448563
210	0.5136476015
211	0.5134226269
212	0.5131375095
213	0.5127712807
214	0.5122986574
215	0.5121563115
216	0.5116589752
217	0.5111981137
218	0.510457987
219	0.5097045743
220	0.5090296147
221	0.5087738471
222	0.5085312731
223	0.50823757
224	0.5078293676
225	0.5074864424
226	0.5072490711
227	0.5070759513
228	0.5067779775
229	0.5063596399
230	0.5058306277
231	0.5053683473
232	0.5051717742
233	0.5049322463
234	0.5046056409
235	0.5042393573
236	0.5038152133
237	0.5035923621
238	0.5032803361
239	0.5029539939
240	0.5027255861
241	0.5022112079
242	0.5017460184
243	0.5015730014
244	0.5013273057
245	0.5008572831
246	0.5000754599
247	0.4997816159
248	0.4995245473
249	0.4992008566
250	0.49873145
251	0.4981096282
252	0.4974143968
253	0.497051957
254	0.4967162445
255	0.4963559018
256	0.4958768589
257	0.4956179616
258	0.4953915019
259	0.4950567159
260	0.4948800992
261	0.4945615995
262	0.4943336082
263	0.4938118826
264	0.4933742508
265	0.4926511885
266	0.4924207143
267	0.4922739496
268	0.4921364751
269	0.4919134374
270	0.4915528871
271	0.4911757072
272	0.4906828353
273	0.4905169702
274	0.490241927
275	0.4899550923
276	0.4898076479
277	0.4892137577
278	0.4888718718
279	0.4887239533
280	0.4885788382
281	0.4883127666
282	0.4880152768
283	0.4877507275
284	0.4875273334
285	0.4874319199
286	0.4872155562
287	0.4866617815
288	0.4861493496
289	0.4859915327
290	0.4856405674
291	0.4854679202
292	0.4846758266
293	0.4845255513
294	0.4840142141
295	0.4837693513
296	0.4832772686
297	0.4831971172
298	0.4830406186
299	0.4829127015
300	0.4826097573
301	0.4824880042
302	0.482265825
303	0.4818192516
304	0.4817594128
305	0.4814854534
306	0.4811925497
307	0.4810019209
308	0.4806051448
309	0.4803640729
310	0.4799523865
311	0.479564514
312	0.4794166885
313	0.4788118934
314	0.4785043478
315	0.4780158426
316	0.4772968326
317	0.476935797
318	0.4763964088
319	0.4762405146
320	0.4760068302
321	0.475824132
322	0.475304538
323	0.4751512081
324	0.4747897406
325	0.4746840758
326	0.4744976891
327	0.4742933237
328	0.4741677579
329	0.4739115744
330	0.4737901969
331	0.4736419292
332	0.4735631699
333	0.4734925589
334	0.4730280929
335	0.4728876503
336	0.4726861612
337	0.4721371044
338	0.4720015514
339	0.4717251998
340	0.471487083
341	0.4712765471
342	0.4708993198
343	0.4708105556
344	0.4706529504
345	0.4704972602
346	0.4704441746
347	0.4703746891
348	0.4701268977
349	0.4698635347
350	0.4693887812
351	0.4689225879
352	0.4685578226
353	0.4683423619
354	0.4680758074
355	0.467869409
356	0.4676666238
357	0.4675175714
358	0.4674451164
359	0.4671006309
360	0.4668593307
361	0.4666238729
362	0.4665181681
363	0.4661984045
364	0.4659006742
365	0.465557442
366	0.4654574689
367	0.46528101
368	0.4652147315
369	0.4651037147
370	0.4648930463
371	0.4646217763
372	0.4642566658
373	0.4641191868
374	0.4638436363
375	0.463298649
376	0.4631090301
377	0.4629505268
378	0.4627374898
379	0.4625720345
380	0.4624363341
381	0.462282845
382	0.4621129568
383	0.46198823
384	0.461732448
385	0.4615865533
386	0.4614674501
387	0.4608793769
388	0.4606793032
389	0.4605504422
390	0.4602873702
391	0.4601824849
392	0.4601286753
393	0.4600324189
394	0.4599278081
395	0.4597748755
396	0.4596568101
397	0.4595050472
398	0.4594168943
399	0.459331686
400	0.4590716478
401	0.4584170077
402	0.4583086855
403	0.4581567485
404	0.4579216835
405	0.4577988502
406	0.4577002279
407	0.457425357
408	0.4573227654
409	0.4572350918
410	0.4569718147
411	0.4568565233
412	0.4565716569
413	0.4562395388
414	0.4559959952
415	0.4559415376
416	0.4558510192
417	0.4557640388
418	0.4556033763
419	0.455457387
420	0.4550329438
421	0.4546669108
422	0.454532891
423	0.4544359307
424	0.4540327668
425	0.453901516
426	0.4535427347
427	0.4532739033
428	0.4529406754
429	0.4528048952
430	0.4527383367
431	0.4526649015
432	0.4525841002
433	0.4522938729
434	0.451875413
435	0.4516158124
436	0.4514929292
437	0.4514216743
438	0.4512889643
439	0.4512222532
440	0.4510369244
441	0.4509764898
442	0.4508640848
443	0.4507591964
444	0.4506902549
445	0.4506228378
446	0.4504338329
447	0.450380334
448	0.450278683
449	0.4502182384
450	0.4500631672
451	0.450018628
452	0.4499764736
453	0.4498927866
454	0.4497218834
455	0.4493218981
456	0.4492523233
457	0.4490063658
458	0.4487708538
459	0.4487000371
460	0.4485063529
461	0.4484021968
462	0.4482222027
463	0.4481875816
464	0.4477954892
465	0.4477334285
466	0.4475696453
467	0.4473608203
468	0.4472559504
469	0.4471780372
470	0.4470659747
471	0.4468648337
472	0.4466705935
473	0.4463159642
474	0.446110927
475	0.4458587732
476	0.4457727622
477	0.4455175576
478	0.4453528479
479	0.4452877489
480	0.4451438544
481	0.445029972
482	0.4449636006
483	0.4447649272
484	0.4445686139
485	0.4440707774
486	0.44398386
487	0.4436132465
488	0.4435017553
489	0.443457436
490	0.4433750879
491	0.4432705171
492	0.4428976
493	0.4426687125
494	0.4426007852
495	0.4424411324
496	0.4423140741
497	0.4421682078
498	0.4421025416
499	0.4420188386
500	0.4419638449
501	0.4419169195
502	0.4415855929
503	0.4414049389
504	0.441348463
505	0.4411604156
506	0.4410297217
507	0.4408786056
508	0.4407962862
509	0.4407149607
510	0.4405292036
511	0.4404577498
512	0.4402528105
513	0.4400625173
514	0.4395906214
515	0.4393920171
516	0.4393165428
517	0.4391805942
518	0.4388781024
519	0.4387140535
520	0.4384233065
521	0.4382561073
522	0.4379863104
523	0.4375144355
524	0.4373195504
525	0.4372250527
526	0.4370922891
527	0.4370276758
528	0.4368628439
529	0.4367464231
530	0.4366216542
531	0.436438218
532	0.4364000572
533	0.4360843619
534	0.4356724457
535	0.435161638
536	0.4350889633
537	0.4350513656
538	0.4349197468
539	0.4348730077
540	0.4346413395
541	0.4342925619
542	0.4340820241
543	0.4340298447
544	0.4339936837
545	0.4338520235
546	0.4337690884
547	0.4335126691
548	0.4333498774
549	0.4332792638
550	0.4332189711
551	0.4331583645
552	0.4328410461
553	0.4326325104
554	0.4325699626
555	0.4325116033
556	0.4324780798
557	0.4324224721
558	0.432230347
559	0.4321100724
560	0.4320593227
561	0.431696083
562	0.431524828
563	0.4313246933
564	0.4310528258
565	0.4308160024
566	0.4307321803
567	0.4306835959
568	0.4305483602
569	0.4302138545
570	0.4300259276
571	0.4297698333
572	0.4297331264
573	0.4296584575
574	0.429582387
575	0.4295021809
576	0.429364602
577	0.4291185239
578	0.4290691087
579	0.4289907214
580	0.428927668
581	0.428858722
582	0.428694102
583	0.428448648
584	0.4284071796
585	0.4281808658
586	0.4279630206
587	0.4277345278
588	0.4276614951
589	0.4274730596
590	0.4272517674
591	0.4266888187
592	0.4265974315
593	0.4265454632
594	0.4264817629
595	0.4263250773
596	0.4262729955
597	0.4260034555
598	0.4258447385
599	0.4257001388
600	0.4256347044
601	0.425550818
602	0.4254865119
603	0.4251709356
604	0.4250107981
605	0.4249505945
606	0.4247646072
607	0.4247215875
608	0.4246074145
609	0.4241584184
610	0.4241039631
611	0.4240551801
612	0.4240102413
613	0.4239891912
614	0.4239415503
615	0.4238794288
616	0.4236682947
617	0.4235446294
618	0.4234790982
619	0.4232659644
620	0.4231918155
621	0.4230399411
622	0.4227967201
623	0.4225015579
624	0.4224364768
625	0.4217046827
626	0.4215582717
627	0.4213389257
628	0.4212961083
629	0.4212491954
630	0.4211761123
631	0.4210232347
632	0.4207274674
633	0.4206661219
634	0.4205233994
635	0.4204842153
636	0.4204534606
637	0.4201926668
638	0.4199360629
639	0.419565603
640	0.419390564
641	0.4193049626
642	0.4191540358
643	0.4190336485
644	0.4188841093
645	0.4187309821
646	0.4186380549
647	0.4185731549
648	0.4184445508
649	0.4182594448
650	0.4177511245
651	0.4176328993
652	0.4173263437
653	0.4171895121
654	0.4171359313
655	0.4169814158
656	0.4169307263
657	0.4168961252
658	0.4167078892
659	0.4164578484
660	0.4163170079
661	0.4161706566
662	0.4161266698
663	0.4160843187
664	0.4158554648
665	0.41553818
666	0.4152982937
667	0.4149132594
668	0.4147802197
669	0.4142287604
670	0.4137723439
671	0.4135796693
672	0.4135485441
673	0.4135025513
674	0.4134593427
675	0.4131552492
676	0.413129043
677	0.4131075801
678	0.4130229119
679	0.4129564838
680	0.4128431703
681	0.4128080123
682	0.4127667649
683	0.4126299188
684	0.4125818623
685	0.41251395
686	0.4123175641
687	0.4122614219
688	0.4120634601
689	0.4120122882
690	0.4119658197
691	0.4118575735
692	0.4117929712
693	0.4117642262
694	0.4114880643
695	0.4112403062
696	0.4111309128
697	0.4110824659
698	0.4106850962
699	0.4103590231
700	0.4102162965
701	0.409859623
702	0.4098072175
703	0.4097749446
704	0.4096233109
705	0.4094195744
706	0.4092464124
707	0.4091292526
708	0.4088582349
709	0.4088056411
710	0.4084947693
711	0.408338782
712	0.4082701655
713	0.4082147436
714	0.40816858
715	0.4080550915
716	0.4077080524
717	0.4075182012
718	0.4072207766
719	0.4070164496
720	0.4067579459
721	0.4067090467
722	0.4066135562
723	0.4062986664
724	0.4059983879
725	0.4059742809
726	0.4059190584
727	0.4058892012
728	0.4056234665
729	0.4054831908
730	0.4053782841
731	0.4053312813
732	0.405109499
733	0.4050344145
734	0.4049678648
735	0.4049196037
736	0.4048474325
